time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2023-08-05,17.9,13.5,22.1,,,22.0,7.6,,1008.2,,krasnoyarsk
2023-08-06,15.9,8.1,22.3,,,350.0,4.0,,1007.2,,krasnoyarsk
2023-08-07,17.6,8.4,25.2,,,113.0,4.0,,1003.6,,krasnoyarsk
2023-08-08,20.0,10.9,27.7,,,193.0,3.8,,1004.2,,krasnoyarsk
2023-08-09,20.1,12.5,26.6,,,284.0,4.7,,1006.4,,krasnoyarsk
2023-08-10,19.9,13.3,26.2,,,212.0,8.0,,1008.8,,krasnoyarsk
2023-08-11,19.7,12.2,25.7,,,167.0,5.5,,1003.2,,krasnoyarsk
2023-08-12,19.1,14.5,23.9,,,244.0,4.8,,1003.5,,krasnoyarsk
2023-08-13,17.3,14.1,20.9,,,236.0,5.2,,1009.4,,krasnoyarsk
2023-08-14,17.6,11.3,23.6,,,202.0,4.8,,1010.4,,krasnoyarsk
2023-08-15,16.0,12.0,19.5,,,223.0,12.7,,1015.8,,krasnoyarsk
2023-08-16,16.0,8.8,22.3,,,196.0,8.5,,1013.8,,krasnoyarsk
2023-08-17,14.8,11.8,17.2,,,207.0,12.2,,1008.8,,krasnoyarsk
2023-08-18,15.1,12.4,18.0,,,242.0,12.7,,1010.4,,krasnoyarsk
2023-08-19,14.6,10.7,19.8,,,232.0,8.9,,1013.2,,krasnoyarsk
2023-08-20,14.8,8.2,20.1,,,189.0,6.3,,1011.7,,krasnoyarsk
2023-08-21,16.4,10.3,22.1,,,195.0,4.5,,1012.6,,krasnoyarsk
2023-08-22,17.7,11.7,24.1,,,169.0,4.5,,1013.4,,krasnoyarsk
2023-08-23,19.5,11.7,27.1,,,155.0,4.2,,1010.7,,krasnoyarsk
2023-08-24,20.4,11.5,28.6,,,130.0,4.8,,1009.3,,krasnoyarsk
2023-08-25,20.7,11.4,29.2,,,111.0,5.2,,1004.8,,krasnoyarsk
